user-id|,text|,topic|,thread-id|,time|,post-id|,replyTo|,replyBy|
Marcelo30890844,@MariaCespedesc @PCaterianoB @pcmperu Pues empiecen por ser transparentes con el dinero que entra a su orgabización religiosa,covid-19,1291174074480287744,2020-08-06 00:47:42,46,MariaCespedesc,Marcelo30890844
MarcoJesusChuco,@MariaCespedesc @PCaterianoB @pcmperu Ya fueron pescados!,covid-19,1291173242464620544,2020-08-06 00:44:24,47,MariaCespedesc,MarcoJesusChuco
mauquintanilla,"@MariaCespedesc @PCaterianoB @pcmperu ¿Qué dices? Es cierto, usted y ustedes, no tienen la más mínima idea de cómo funciona el aparato del Estado.",covid-19,1291172570558078976,2020-08-06 00:41:44,48,MariaCespedesc,mauquintanilla
NicoltKatheriny,"@MariaCespedesc @PCaterianoB @pcmperu Mi solidaridad con uds estimada Congresista,¡¡¡... Vale mas la percepcion del pueblo mas que el orgullo herido de politicos dinosaurios¡¡¡....👏👏👏",covid-19,1291172298700075009,2020-08-06 00:40:39,49,MariaCespedesc,NicoltKatheriny
Hetro03042077,"@MariaCespedesc @PCaterianoB @pcmperu Mantenganse en sus convicciones, solo queda un año de este maltrecho presidente aprendiz de ppk que gobierna para el club de la construccion y confiep. Sus votantes los respaldan.",covid-19,1291172085386088455,2020-08-06 00:39:48,50,MariaCespedesc,Hetro03042077
620_21,"@MariaCespedesc @amariateguinof @PCaterianoB @pcmperu Esta gente del Frepap resultado de una votación absurda , hecha quizás por el higado de muchos. Así estamos de jodidos.cuando predomina la ideología por encima de la inteligencia. Es lo mismo que el frente amplio.primero es su ideología que le bien del pais. Que cosas no?",covid-19,1291170559074676737,2020-08-06 00:33:44,51,MariaCespedesc,620_21
RIS_QUISPE,@MariaCespedesc @PCaterianoB @pcmperu HABLANDO DE FANÁTICOS RELIGIOSOS? https://t.co/wEEjfFA58r,covid-19,1291168143801561088,2020-08-06 00:24:08,52,MariaCespedesc,RIS_QUISPE
cuyfloyd,@MariaCespedesc @PCaterianoB @pcmperu Militancia religiosa será...,covid-19,1291167218680635394,2020-08-06 00:20:28,53,MariaCespedesc,cuyfloyd
HPatriciassC,@MariaCespedesc @PCaterianoB @pcmperu Bien rechazada la confianza a ese tarado,covid-19,1291167124149477378,2020-08-06 00:20:05,54,MariaCespedesc,HPatriciassC
estelacm,"@MariaCespedesc @PCaterianoB @pcmperu Uds. llegaron al Congreso d casualidad pq les escogieron como mal menor pq estaban hartos de los partidos corruptos, creían que harían la diferencia pero uds. no han dado la talla, le hicieron un daño al país, al votar x descabezar al Ejecutivo sin argumentos, en plena pandemia.",covid-19,1291166462191730689,2020-08-06 00:17:27,55,MariaCespedesc,estelacm
Barri0460,"@MariaCespedesc @PCaterianoB @pcmperu La ley de publicidad estatal es necesaria, evitemos gastos innecesarios, NO A LA MERMELADA",covid-19,1291165762019905537,2020-08-06 00:14:41,56,MariaCespedesc,Barri0460
meow968,"@MariaCespedesc @PCaterianoB @pcmperu Que cristofóbico, él! Con su declaración confirmó que el congreso tenía toda la razón en no darle la confianza.",covid-19,1291163684035792896,2020-08-06 00:06:25,57,MariaCespedesc,meow968
Antonio23905320,"@MariaCespedesc @PCaterianoB @pcmperu Si,pero no saben de politica pues ,en economia siempre piensan ,solo en los millones producto de los diezmos,en esta pandemia no han hecho nada ni x los mas pobres de sus iglecias,tienen siquiera una planta de oxigeno?, donde esconden los millones",covid-19,1291161768757272578,2020-08-05 23:58:48,58,MariaCespedesc,Antonio23905320
luna_canario,"@MariaCespedesc @PCaterianoB @pcmperu Ustedes se bajaron y empujaron el carro, que conduce  Luna Gálvez. Ahora van adentro.",covid-19,1291160880286240769,2020-08-05 23:55:17,59,MariaCespedesc,luna_canario
rochi44936927,"@MariaCespedesc @PCaterianoB @pcmperu No representan al Perú
se representan a ellos deben pensar en todos......lo que dijo sólo es una gran verdad",covid-19,1291160670596222977,2020-08-05 23:54:27,60,MariaCespedesc,rochi44936927
CtmTmr,"@MariaCespedesc @PCaterianoB @pcmperu Al saber que #Urresti es el relacionista publico de #CaterianoElBreve y quere hacer de la educacion universitaria un negocio donde sacan mas dinero, como resultado: #ISIL anuncia LICENCIAMIENTO  como ESCUELA DE EDUCACION SUPERIOR!!!!!!!!!!!! https://t.co/8ykhKo9zs8",covid-19,1291159004937420801,2020-08-05 23:47:50,61,MariaCespedesc,CtmTmr
genelyk,"@MariaCespedesc @PCaterianoB @pcmperu luchas contra la corrupcion, pero hasta ahora no veo ninguna acusacion contra bartra por el informe lavajato, 6 millones de soles que se pudieron invertir en camas UCI o mejorar postas,  o tambien luciana leon, no han levantado la inmunidad a varios ex congresitas..",covid-19,1291158678977032192,2020-08-05 23:46:32,62,MariaCespedesc,genelyk
sirasavi,"@MariaCespedesc @FREPAP_FIA @PCaterianoB @pcmperu Gobierno: No aceptó donación de oxigeno del sector privado en Arequipa, convirtió las instituciones del Estado en agencia de empleo de amigos/familiares, dio dinero Reactiva Perú a empresas ODEBRECHT, miente con la cantidad de fallecidos por Covid-19 ¿Qué quiere El Ejecutivo? 👏",covid-19,1291158245852286976,2020-08-05 23:44:49,63,MariaCespedesc,sirasavi
luisen720417,"@MariaCespedesc @PCaterianoB @pcmperu El poder cambia a cualquier alma y  más si tiene control de creyentes, FREPAP llegó con experiencia al congreso.",covid-19,1291157390272995330,2020-08-05 23:41:25,64,MariaCespedesc,luisen720417
josezlo,@MariaCespedesc @PCaterianoB @pcmperu Vamos a reactivarnos económicamente sembrando hortalizas,covid-19,1291157009568604165,2020-08-05 23:39:54,65,MariaCespedesc,josezlo
mafalsa13,"@MariaCespedesc @PCaterianoB @pcmperu ""Eje fundamental, la lucha contra la corrupción"" ahhh yaa
Y terminan votando junto con esa misma corrupción que dicen combatir.",covid-19,1291156970901315587,2020-08-05 23:39:45,66,MariaCespedesc,mafalsa13
quenospasa_1,@MariaCespedesc @PCaterianoB @pcmperu https://t.co/7dtCy6A2pr,covid-19,1291156654415851520,2020-08-05 23:38:29,67,MariaCespedesc,quenospasa_1
elvistq,@MariaCespedesc @PCaterianoB @pcmperu Q ha hecho su partido? Sin perfil ni horizonte. Solo buscan el agro...q más? Propongan algo factible y no sigan con actitudes poco realistas. Ninguno d ud puede dar una entrevista y responder a preguntas?,covid-19,1291155404253270024,2020-08-05 23:33:31,68,MariaCespedesc,elvistq
CarlosMenesesP,"@MariaCespedesc @PCaterianoB @pcmperu Sabían usar Twitter... pero la verdad, no van a negar que no están nada preparados y entienden poco o nada del aspecto técnico del gobierno...",covid-19,1291153067967209474,2020-08-05 23:24:14,69,MariaCespedesc,CarlosMenesesP
QUARESMO10,@MariaCespedesc @PCaterianoB @pcmperu https://t.co/IV71galBXw,covid-19,1291152433570353154,2020-08-05 23:21:43,70,MariaCespedesc,QUARESMO10
Hgdaniel90,"@MariaCespedesc @marialecampos @PCaterianoB @pcmperu Muy bien por ustedes Congresista Céspedes. Están siendo coherentes, están sorprendiendo a muchos (me incluyo) que la verdad pensábamos que iban a aparecer tras bambalinas. Sigan así, siempre coherentes y que nadie les quiera tapar la boca.",covid-19,1291151911786360833,2020-08-05 23:19:38,71,MariaCespedesc,Hgdaniel90
FernandaAranib,@MariaCespedesc @PCaterianoB @pcmperu #VacanciaPresidencialYa,covid-19,1291151665270263814,2020-08-05 23:18:40,72,MariaCespedesc,FernandaAranib
renzin17,@MariaCespedesc @PCaterianoB @pcmperu Todo sabemos que los grupos fundamentalistas de extremismo religioso nunca podrán anteponer la democracia sobre su fundamentalismo. Tienen el derecho de participar en política y nuestra democracia lo permite sin embargo su consignas religiosas son de una realidad medioeval,covid-19,1291151430611591170,2020-08-05 23:17:44,73,MariaCespedesc,renzin17
quenospasa_1,@MariaCespedesc @PCaterianoB @pcmperu https://t.co/vSL5MQpn9m,covid-19,1291151104684756995,2020-08-05 23:16:26,74,MariaCespedesc,quenospasa_1
Chacort22717229,"@MariaCespedesc @PCaterianoB @pcmperu Su comportamiento es vergonzoso, A los tibios los vomitare de mi boca, recuerda esas palabras???",covid-19,1291151006273855495,2020-08-05 23:16:02,75,MariaCespedesc,Chacort22717229
Ftolcor,"@MariaCespedesc @PCaterianoB @pcmperu Sra María procedan como partido @FREPAP_FIA a  denunciar formalmente a @PCaterianoB por discriminación pública... que esta tipificada en la Constitución, no se puede permitir esa insolencia #Peru",covid-19,1291147625861914631,2020-08-05 23:02:37,76,MariaCespedesc,Ftolcor
arezcsa,"@MariaCespedesc @PCaterianoB @pcmperu SHHHHHHHHH 
IGNORANTES",covid-19,1291147600901681152,2020-08-05 23:02:31,77,MariaCespedesc,arezcsa
germanyguerrer4,"@MariaCespedesc @PCaterianoB @pcmperu Rechazamos las declaraciones de @PCaterianoB , así como nos oponemos a cualquier acto discriminatorio contra nuestro partido y militantes del #Frepap.
Quienes tenemos más de 30 años de militancia teniendo como eje fundamental la lucha contra la corrupción. (1/2)
@pcmperu",covid-19,1291147253437079552,2020-08-05 23:01:08,78,MariaCespedesc,germanyguerrer4
AstucuriRenzo,@MariaCespedesc @PCaterianoB @pcmperu Señora dígame 3 artículos de la Constitución .......... O se pondrá a rezar??,covid-19,1291146743137161216,2020-08-05 22:59:06,79,MariaCespedesc,AstucuriRenzo
andyferrere,@MariaCespedesc @PCaterianoB @pcmperu Estamos con ustedes FREPAP. Esa basura de Bacteriano los trata como peruanos de última clase. Esa es la verdadera cara de la basura caviar.,covid-19,1291145991438118913,2020-08-05 22:56:07,80,MariaCespedesc,andyferrere
Lenina38351302,"@MariaCespedesc @martinhidalgo @PCaterianoB @pcmperu Muy bien Maria Teresa. Ya era hora. Demasiado corrupcion. En nuestras narices estan robando
 Con el pretexto de la pandemia",covid-19,1291145949176266753,2020-08-05 22:55:57,81,MariaCespedesc,Lenina38351302
