user-id|,text|,topic|,thread-id|,time|,post-id|,replyTo|,replyBy|
ErickRu97902250,@MariaCespedesc @FrepapBancada bien hecho,covid-19,1290703745752412161,2020-08-04 17:38:47,47,MariaCespedesc,ErickRu97902250
KeiryDiaz8,"@MariaCespedesc @FrepapBancada Felicitaciones congresista es bueno ser consecuente, este gabinete no merecía el voto de confianza. Apoyo su coraje 👏🏻👏🏻👏🏻",covid-19,1290703154913386501,2020-08-04 17:36:26,48,MariaCespedesc,KeiryDiaz8
Helena67Mar,"@MariaCespedesc @FrepapBancada Y mientras tanto qué, nos sentamos a esperar la recomposición del gabinete. Les guste a o no la minería es el sector econ que + recursos genera, directa e indirect que se inyectan al PBI. Es función de uds congres legislar para que la distrib de esos recursos lleguen a todos.",covid-19,1290698441811791875,2020-08-04 17:17:43,49,MariaCespedesc,Helena67Mar
politicavital,"@MariaCespedesc @FrepapBancada INIMPUTABLES !!
No saben NADA de políticas públicas!!
Seguro tienen de asesores a la miasma corrupta disuelta!!
Vayan a pastar ovejas...",covid-19,1290698434220044289,2020-08-04 17:17:41,50,MariaCespedesc,politicavital
cesarpescetto,@MariaCespedesc @Ginzux @FrepapBancada Lamentable que una secta religiosa llena de sinverguenzas explotadores de humanos esten en el congreso.,covid-19,1290694404097953792,2020-08-04 17:01:40,51,MariaCespedesc,cesarpescetto
SanchezPecho,@MariaCespedesc @FrepapBancada El pescado en el 2021 va ser muy muy ya fueron,covid-19,1290692424122224641,2020-08-04 16:53:48,52,MariaCespedesc,SanchezPecho
LecelMakerman,@MariaCespedesc @FrepapBancada Ustedes NO me representan.,covid-19,1290686214396424192,2020-08-04 16:29:07,53,MariaCespedesc,LecelMakerman
Mercede39096338,"@MariaCespedesc @FrepapBancada No, Congresista María Céspedes no fue lo más acertado. Estamos en emergencia sanitaria y la economía que se cae a pedazos. ¿No se dan cuenta de la realidad?. FREPAP actitud DECEPCIONANTE.",covid-19,1290685797100855302,2020-08-04 16:27:28,54,MariaCespedesc,Mercede39096338
caceres_wilder,@MariaCespedesc @FREPAP_FIA @FrepapBancada Bueno bien señora congresista esta vez fueron firmes,covid-19,1290685502627160074,2020-08-04 16:26:18,55,MariaCespedesc,caceres_wilder
Torresrghotmai1,@MariaCespedesc @FrepapBancada Vergüenza nacional,covid-19,1290684857601925120,2020-08-04 16:23:44,56,MariaCespedesc,Torresrghotmai1
lorenalorename2,@MariaCespedesc @FrepapBancada Usted no nos represento señora.,covid-19,1290682949789200385,2020-08-04 16:16:09,57,MariaCespedesc,lorenalorename2
wilsonariza20,@MariaCespedesc @FREPAP_FIA @FrepapBancada #VacanciaPresidencialYa  haste una por ataucusi,covid-19,1290679613459439616,2020-08-04 16:02:54,58,MariaCespedesc,wilsonariza20
